question,answer,subject,predicate,object
吴光的年龄是？,62,吴光,年龄,62
绵阳市三汇房地产开发有限责任公司的分红方式是多少？,现金分红,绵阳市三汇房地产开发有限责任公司,分红方式,现金分红
北京华谊嘉信整合营销顾问集团股份有限公司的董事是？,陈曦,北京华谊嘉信整合营销顾问集团股份有限公司,董事,陈曦
北京嘉寓门窗幕墙股份有限公司的违规类型是？,无,北京嘉寓门窗幕墙股份有限公司,违规类型,无
太原星光城房地产开发有限公司的债券类型？,定向工具,太原星光城房地产开发有限公司,债券类型,定向工具
天地源股份有限公司的监事是？,马小峰,天地源股份有限公司,监事,马小峰
云尚发展（淄博）有限公司的信用评级是什么？,优,云尚发展（淄博）有限公司,信用评级,优
北讯集团股份有限公司的董事是？,杨涛,北讯集团股份有限公司,董事,杨涛
沈阳惠天热电股份有限公司的董事是谁？,李哲,沈阳惠天热电股份有限公司,董事,李哲
广州市保曦置业有限公司的信用评级？,优,广州市保曦置业有限公司,信用评级,优
高永清的年龄是多少？,39,高永清,年龄,39
卢功文的年龄？,30,卢功文,年龄,30
李建春的年龄？,44,李建春,年龄,44
钟玉的年龄是？,53,钟玉,年龄,53
常熟市尚联实业发展有限公司的行业大类是什么？,其他,常熟市尚联实业发展有限公司,行业大类,其他
北京凯英信业科技股份有限公司的行业大类是？,其它,北京凯英信业科技股份有限公司,行业大类,其它
内江祥澳置业有限公司的信用评级是啥？,差,内江祥澳置业有限公司,信用评级,差
广州南菱汽车股份有限公司的董事？,李忠文,广州南菱汽车股份有限公司,董事,李忠文
杨瑞龙的年龄多大？,64,杨瑞龙,年龄,64
林伟的年龄是多少？,46,林伟,年龄,46
天地源股份有限公司的监事是？,原学功,天地源股份有限公司,监事,原学功
冠福控股股份有限公司的董事？,邓海雄,冠福控股股份有限公司,董事,邓海雄
陈宝根的年龄是多少？,63,陈宝根,年龄,63
邵雄雄的年龄是？,24,邵雄雄,年龄,24
开封市祥符区国有资产投资经营有限责任公司的违规类型是什么？,无,开封市祥符区国有资产投资经营有限责任公司,违规类型,无
江苏国信股份有限公司的监事是谁？,章明,江苏国信股份有限公司,监事,章明
吕梦勇的年龄多大？,53,吕梦勇,年龄,53
中南红文化集团股份有限公司的违规类型是什么？,无,中南红文化集团股份有限公司,违规类型,无
深圳市深装总装饰股份有限公司的行业大类是？,其他,深圳市深装总装饰股份有限公司,行业大类,其他
开封市文化旅游投资集团有限公司的信用评级是？,暂无评级,开封市文化旅游投资集团有限公司,信用评级,暂无评级
万安县欣源工业开发有限公司的行业大类是多少？,金融控股集团,万安县欣源工业开发有限公司,行业大类,金融控股集团
南京中北盛业房地产开发有限公司的行业大类是什么？,金融控股集团,南京中北盛业房地产开发有限公司,行业大类,金融控股集团
杭州开湖房地产开发有限公司的行业大类是？,其它,杭州开湖房地产开发有限公司,行业大类,其它
温州慕跃投资管理有限公司的债券类型是什么？,可转换债券,温州慕跃投资管理有限公司,债券类型,可转换债券
张宁的年龄是多少？,63,张宁,年龄,63
周娟的年龄是多少？,30,周娟,年龄,30
杭州浙达投资有限公司的违规类型？,未按时披露定期报告,杭州浙达投资有限公司,违规类型,未按时披露定期报告
深圳市振业（集团）股份有限公司的债券类型是啥？,券商专项资产管理,深圳市振业（集团）股份有限公司,债券类型,券商专项资产管理
横店集团控股有限公司的董事是谁？,徐文财,横店集团控股有限公司,董事,徐文财
杨瑞龙的年龄是？,64,杨瑞龙,年龄,64
太原星光寰宇房地产开发有限公司的担保是？,济宁广仁置业有限公司,太原星光寰宇房地产开发有限公司,担保,济宁广仁置业有限公司
田向群的年龄是多少？,32,田向群,年龄,32
哈尔滨秋林集团股份有限公司的董事是？,李洪洋,哈尔滨秋林集团股份有限公司,董事,李洪洋
淄博万嘉置业有限公司的担保？,广东冠粤路桥有限公司,淄博万嘉置业有限公司,担保,广东冠粤路桥有限公司
抚州市投资发展（集团）有限公司的债券类型？,企业债,抚州市投资发展（集团）有限公司,债券类型,企业债
四川北新大弘置业集团有限公司的违规类型是多少？,无,四川北新大弘置业集团有限公司,违规类型,无
马中的年龄是？,20,马中,年龄,20
美颐投资置业有限公司的客户是？,杭州燚乐实业投资有限公司,美颐投资置业有限公司,客户,杭州燚乐实业投资有限公司
云南路桥股份有限公司的担保是？,青岛润通铭苑置业有限公司,云南路桥股份有限公司,担保,青岛润通铭苑置业有限公司
徐平的年龄是？,45,徐平,年龄,45
银基烯碳新材料集团股份有限公司的监事是？,戴永久,银基烯碳新材料集团股份有限公司,监事,戴永久
肖高强的年龄是多少？,62,肖高强,年龄,62
王义艳的年龄是多少？,55,王义艳,年龄,55
洛阳新强联回转支承股份有限公司的监事？,张占普,洛阳新强联回转支承股份有限公司,监事,张占普
张天纵的年龄是多少？,52,张天纵,年龄,52
刘嗣宏的年龄是多少？,67,刘嗣宏,年龄,67
阳澄湖投资有限公司的行业大类是啥？,寿险公司,阳澄湖投资有限公司,行业大类,寿险公司
涿州盛丰和华房地产开发有限公司的行业大类是多少？,投资公司,涿州盛丰和华房地产开发有限公司,行业大类,投资公司
凯盛家纺股份有限公司的行业大类？,其它,凯盛家纺股份有限公司,行业大类,其它
中国银河证券股份有限公司的董事是谁？,王世定,中国银河证券股份有限公司,董事,王世定
青岛广林置业有限公司的收入是多少？,4154670,青岛广林置业有限公司,收入,4154670
董彬的年龄是多少？,59,董彬,年龄,59
余正春的年龄？,50,余正春,年龄,50
长江精工钢结构（集团）股份有限公司的监事是谁？,陈道望,长江精工钢结构（集团）股份有限公司,监事,陈道望
神雾环保技术股份有限公司的董事？,尹丽萍,神雾环保技术股份有限公司,董事,尹丽萍
中安科股份有限公司的董事是？,余玉苗,中安科股份有限公司,董事,余玉苗
广州荣盛房地产有限公司的行业大类？,投资公司,广州荣盛房地产有限公司,行业大类,投资公司
张殿军的年龄？,26,张殿军,年龄,26
张小猛的年龄是？,59,张小猛,年龄,59
江苏朱方置业股份有限公司的违规类型是？,无,江苏朱方置业股份有限公司,违规类型,无
贵州长征天成控股股份有限公司的监事是谁？,胡凌志,贵州长征天成控股股份有限公司,监事,胡凌志
古树林的年龄多大？,50,古树林,年龄,50
安徽白兔湖动力股份有限公司的信用评级是多少？,差,安徽白兔湖动力股份有限公司,信用评级,差
白钢的年龄多大？,52,白钢,年龄,52
宁波兴光煤气集团公司的供应商是谁？,杭州滨轼企业管理有限公司,宁波兴光煤气集团公司,供应商,杭州滨轼企业管理有限公司
福州鼎成房地产开发有限公司的行业大类是什么？,其它,福州鼎成房地产开发有限公司,行业大类,其它
沈阳惠天热电股份有限公司的监事是？,刘丽,沈阳惠天热电股份有限公司,监事,刘丽
吴毓武的年龄？,29,吴毓武,年龄,29
遂平县高新产业集聚区投资有限公司的分红方式是多少？,转增,遂平县高新产业集聚区投资有限公司,分红方式,转增
淄博和鸣置业有限公司的违规类型是啥？,无,淄博和鸣置业有限公司,违规类型,无
河南省力量钻石股份有限公司的信用评级是多少？,暂无评级,河南省力量钻石股份有限公司,信用评级,暂无评级
江苏国信股份有限公司的监事是？,章明,江苏国信股份有限公司,监事,章明
王方华的年龄是？,34,王方华,年龄,34
印纪娱乐传媒股份有限公司的监事？,章成平,印纪娱乐传媒股份有限公司,监事,章成平
厦门中南德誉房地产开发有限公司的债券类型？,中期票据,厦门中南德誉房地产开发有限公司,债券类型,中期票据
浙江亚厦装饰股份有限公司的董事是谁？,任永平,浙江亚厦装饰股份有限公司,董事,任永平
吉林利源精制股份有限公司的董事？,刘季,吉林利源精制股份有限公司,董事,刘季
博爱县投资集团有限公司的信用评级是？,优,博爱县投资集团有限公司,信用评级,优
浙江发展房地产开发有限公司的供应商是谁？,河北怀特集团股份有限公司,浙江发展房地产开发有限公司,供应商,河北怀特集团股份有限公司
须峰的年龄是多少？,38,须峰,年龄,38
韩金福的年龄是？,55,韩金福,年龄,55
广州粤泰集团股份有限公司的董事是？,杨树源,广州粤泰集团股份有限公司,董事,杨树源
甘肃华协农业生物科技股份有限公司的违规类型是？,无,甘肃华协农业生物科技股份有限公司,违规类型,无
康如喜的年龄多大？,27,康如喜,年龄,27
浙江德晨旅游开发有限公司的债券类型是什么？,短期融资券,浙江德晨旅游开发有限公司,债券类型,短期融资券
天地源股份有限公司的监事是？,杨桂芳,天地源股份有限公司,监事,杨桂芳
金鸿控股集团股份有限公司的违规类型是什么？,未依法履行其他职责,金鸿控股集团股份有限公司,违规类型,未依法履行其他职责
陈洪的年龄是？,65,陈洪,年龄,65
北京首都开发股份有限公司的监事是谁？,胡仕林,北京首都开发股份有限公司,监事,胡仕林
侯秀红的年龄是？,46,侯秀红,年龄,46
中国石油化工股份有限公司的监事？,常振勇,中国石油化工股份有限公司,监事,常振勇
长江精工钢结构（集团）股份有限公司的董事是谁？,严宏,长江精工钢结构（集团）股份有限公司,董事,严宏
倪开禄的年龄是多少？,31,倪开禄,年龄,31
河北古城香业集团股份有限公司的董事是谁？,王春和,河北古城香业集团股份有限公司,董事,王春和
张原的年龄是？,35,张原,年龄,35
朱永利的年龄？,68,朱永利,年龄,68
宁波亿兴企业管理有限责任公司的违规类型？,未按时披露定期报告,宁波亿兴企业管理有限责任公司,违规类型,未按时披露定期报告
中安科股份有限公司的监事是谁？,张天痕,中安科股份有限公司,监事,张天痕
重庆瑞重快递有限公司的监事是？,何勇兵,重庆瑞重快递有限公司,监事,何勇兵
佛山融展置业有限公司的行业大类？,其他,佛山融展置业有限公司,行业大类,其他
陆素红的年龄是多少？,24,陆素红,年龄,24
江苏联赢激光有限公司的信用评级？,差,江苏联赢激光有限公司,信用评级,差
杭州滨嵘企业管理有限公司的行业大类？,其它,杭州滨嵘企业管理有限公司,行业大类,其它
中国石油化工股份有限公司的董事？,傅成玉,中国石油化工股份有限公司,董事,傅成玉
张宇红的年龄多大？,46,张宇红,年龄,46
渭南华岳逸景置业有限公司的监事？,张跃龙,渭南华岳逸景置业有限公司,监事,张跃龙
北京凯文德信教育科技股份有限公司的董事是谁？,陈禹,北京凯文德信教育科技股份有限公司,董事,陈禹
赵子琪的年龄是多少？,51,赵子琪,年龄,51
云南路桥股份有限公司的董事是？,高国岗,云南路桥股份有限公司,董事,高国岗
深圳市振业（集团）股份有限公司的董事？,王方华,深圳市振业（集团）股份有限公司,董事,王方华
江苏保千里视像科技集团股份有限公司的分红方式是多少？,送股,江苏保千里视像科技集团股份有限公司,分红方式,送股
正源控股股份有限公司的董事是谁？,蔡洪滨,正源控股股份有限公司,董事,蔡洪滨
沈平的年龄？,50,沈平,年龄,50
龙口市福尔生化科技有限公司的违规类型是啥？,未按时披露定期报告,龙口市福尔生化科技有限公司,违规类型,未按时披露定期报告
甄梦梦的年龄？,64,甄梦梦,年龄,64
冠福控股股份有限公司的监事是谁？,涂瑞稳,冠福控股股份有限公司,监事,涂瑞稳
凯奇集团有限公司的分红方式是啥？,现金分红,凯奇集团有限公司,分红方式,现金分红
广州南菱汽车股份有限公司的董事是谁？,杨坚,广州南菱汽车股份有限公司,董事,杨坚
黄东坡的年龄多大？,25,黄东坡,年龄,25
李存牢的年龄？,24,李存牢,年龄,24
丁家宏的年龄？,39,丁家宏,年龄,39
霍光的年龄多大？,65,霍光,年龄,65
万安县欣源工业开发有限公司的违规类型是什么？,无,万安县欣源工业开发有限公司,违规类型,无
巫毅的年龄？,50,巫毅,年龄,50
齐鲁动物保健品有限公司的分红方式是？,转增,齐鲁动物保健品有限公司,分红方式,转增
甘肃刚泰控股（集团）股份有限公司的监事是谁？,沈伟,甘肃刚泰控股（集团）股份有限公司,监事,沈伟
湖北宜化化工股份有限公司的董事？,马传刚,湖北宜化化工股份有限公司,董事,马传刚
潮州深能燃气有限公司的行业大类是？,担保公司,潮州深能燃气有限公司,行业大类,担保公司
涿州盛丰和华房地产开发有限公司的分红方式是什么？,转增,涿州盛丰和华房地产开发有限公司,分红方式,转增
乐视网信息技术（北京）股份有限公司的董事是谁？,刘淑青,乐视网信息技术（北京）股份有限公司,董事,刘淑青
成都鸿望房地产开发有限公司的违规类型是？,无,成都鸿望房地产开发有限公司,违规类型,无
江苏宏图高科技股份有限公司的董事是谁？,陈军,江苏宏图高科技股份有限公司,董事,陈军
张更生的年龄是多少？,22,张更生,年龄,22
康得新复合材料集团股份有限公司的董事是？,钟玉,康得新复合材料集团股份有限公司,董事,钟玉
成都西行起点旅游资源开发有限公司的行业大类是什么？,其它,成都西行起点旅游资源开发有限公司,行业大类,其它
常熟筑虞房地产开发有限公司的分红方式是啥？,不分配,常熟筑虞房地产开发有限公司,分红方式,不分配
秦皇岛兴龙房地产集团有限公司的违规类型是？,其它信息披露违规,秦皇岛兴龙房地产集团有限公司,违规类型,其它信息披露违规
重庆北麓置业有限公司的违规类型是？,无,重庆北麓置业有限公司,违规类型,无
福州蓝光炀均置业有限公司的信用评级？,优,福州蓝光炀均置业有限公司,信用评级,优
江苏联赢激光有限公司的行业大类是什么？,其他,江苏联赢激光有限公司,行业大类,其他
中安科股份有限公司的董事是？,张建英,中安科股份有限公司,董事,张建英
喻翔的年龄是多少？,30,喻翔,年龄,30
银基烯碳新材料集团股份有限公司的董事？,吴粒,银基烯碳新材料集团股份有限公司,董事,吴粒
成都武科实业有限公司的行业大类是什么？,投资公司,成都武科实业有限公司,行业大类,投资公司
南京裕辰房地产开发有限公司的债券类型？,企业债,南京裕辰房地产开发有限公司,债券类型,企业债
沧州港务集团有限公司的信用评级？,暂无评级,沧州港务集团有限公司,信用评级,暂无评级
甘肃宏良皮业股份有限公司的供应商是哪个公司？,四川交投地产有限公司,甘肃宏良皮业股份有限公司,供应商,四川交投地产有限公司
凯迪生态环境科技股份有限公司的董事是谁？,罗廷元,凯迪生态环境科技股份有限公司,董事,罗廷元
凯盛家纺股份有限公司的收入是多少？,8404939,凯盛家纺股份有限公司,收入,8404939
广州市保曦置业有限公司的担保是哪个公司？,杭州中策清泉实业有限公司,广州市保曦置业有限公司,担保,杭州中策清泉实业有限公司
徐景安的年龄是多少？,64,徐景安,年龄,64
金鸿控股集团股份有限公司的董事是？,刘强,金鸿控股集团股份有限公司,董事,刘强
杨忠的年龄多大？,50,杨忠,年龄,50
金鹏涛的年龄？,29,金鹏涛,年龄,29
上海农口房地产（集团）有限公司的董事是？,陈信元,上海农口房地产（集团）有限公司,董事,陈信元
太原利泽盛远房地产开发有限公司的分红方式是什么？,现金分红,太原利泽盛远房地产开发有限公司,分红方式,现金分红
陈岩的年龄？,25,陈岩,年龄,25
Mette Frank的年龄多大？,47,Mette Frank,年龄,47
浙江运发文化发展有限公司的行业大类是什么？,其他,浙江运发文化发展有限公司,行业大类,其他
北京金一文化发展股份有限公司的董事？,蒲忠杰,北京金一文化发展股份有限公司,董事,蒲忠杰
广东文化长城集团股份有限公司的董事是谁？,朱利民,广东文化长城集团股份有限公司,董事,朱利民
张然的年龄是多少？,66,张然,年龄,66
石晶波的年龄多大？,35,石晶波,年龄,35
重庆招商依云房地产有限公司的信用评级？,暂无评级,重庆招商依云房地产有限公司,信用评级,暂无评级
江苏联赢激光有限公司的分红方式是？,不分配,江苏联赢激光有限公司,分红方式,不分配
北京金一文化发展股份有限公司的监事？,梁红梅,北京金一文化发展股份有限公司,监事,梁红梅
宁波凯铭置业有限公司的董事是谁？,巴德年,宁波凯铭置业有限公司,董事,巴德年
杨艳的年龄？,26,杨艳,年龄,26
瑞茂通供应链管理股份有限公司的行业大类是多少？,证券公司,瑞茂通供应链管理股份有限公司,行业大类,证券公司
东方金钰股份有限公司的董事？,张兆国,东方金钰股份有限公司,董事,张兆国
嘉兴钇和置业有限公司的行业大类是什么？,其他,嘉兴钇和置业有限公司,行业大类,其他
胡海峰的年龄？,55,胡海峰,年龄,55
曹体伦的年龄是？,33,曹体伦,年龄,33
贺辉的年龄？,20,贺辉,年龄,20
福建众和股份有限公司的董事是？,陈瑞莺,福建众和股份有限公司,董事,陈瑞莺
杭州滨奇投资管理有限公司的债券类型是？,可转换债券,杭州滨奇投资管理有限公司,债券类型,可转换债券
眉山市东坡发展投资有限公司的违规类型是啥？,未及时披露公司重大事件,眉山市东坡发展投资有限公司,违规类型,未及时披露公司重大事件
董琪的年龄多大？,64,董琪,年龄,64
广东文化长城集团股份有限公司的董事？,吴淡珠,广东文化长城集团股份有限公司,董事,吴淡珠
北京首都开发股份有限公司的董事是谁？,米崇广,北京首都开发股份有限公司,董事,米崇广
杭州滨奇投资管理有限公司的债券类型是多少？,可转换债券,杭州滨奇投资管理有限公司,债券类型,可转换债券
南京中北盛业房地产开发有限公司的客户是哪家公司？,常熟市尚联实业发展有限公司,南京中北盛业房地产开发有限公司,客户,常熟市尚联实业发展有限公司
协鑫集成科技股份有限公司的监事？,邰静,协鑫集成科技股份有限公司,监事,邰静
金正大生态工程集团股份有限公司的监事？,赵玉芳,金正大生态工程集团股份有限公司,监事,赵玉芳
吕宗亮的年龄？,47,吕宗亮,年龄,47
渤海租赁股份有限公司的监事？,李红,渤海租赁股份有限公司,监事,李红
东莞勤上光电股份有限公司的监事是？,张继德,东莞勤上光电股份有限公司,监事,张继德
大连东霖食品股份有限公司的监事？,张珂,大连东霖食品股份有限公司,监事,张珂
徐伟的年龄是多少？,30,徐伟,年龄,30
杭州滨轼企业管理有限公司的分红方式是啥？,现金分红,杭州滨轼企业管理有限公司,分红方式,现金分红
上海汇衍置业有限公司的行业大类是多少？,资产管理公司,上海汇衍置业有限公司,行业大类,资产管理公司
青岛锦拓房地产开发有限公司的信用评级？,优,青岛锦拓房地产开发有限公司,信用评级,优
常熟市尚联实业发展有限公司的行业大类是？,其他,常熟市尚联实业发展有限公司,行业大类,其他
宝鸡烨坤置业有限公司的监事是谁？,许广怡,宝鸡烨坤置业有限公司,监事,许广怡
沈阳惠天热电股份有限公司的董事是？,左小明,沈阳惠天热电股份有限公司,董事,左小明
南京锦凡置业有限公司的客户是哪家公司？,青岛招商铭华置业有限公司,南京锦凡置业有限公司,客户,青岛招商铭华置业有限公司
重庆市搏展房地产开发有限责任公司的收入是多少？,4162242,重庆市搏展房地产开发有限责任公司,收入,4162242
仪垂林的年龄多大？,51,仪垂林,年龄,51
浙江元盛塑业股份有限公司的董事？,王清,浙江元盛塑业股份有限公司,董事,王清
华锐风电科技（集团）股份有限公司的董事是？,程小可,华锐风电科技（集团）股份有限公司,董事,程小可
福建众和股份有限公司的供应商是谁？,霸州市孔雀海房地产开发有限公司,福建众和股份有限公司,供应商,霸州市孔雀海房地产开发有限公司
宝鸡烨坤置业有限公司的信用评级是多少？,优,宝鸡烨坤置业有限公司,信用评级,优
云南路桥股份有限公司的信用评级是什么？,差,云南路桥股份有限公司,信用评级,差
九江鄱湖置业有限公司的违规类型？,未依法履行其他职责,九江鄱湖置业有限公司,违规类型,未依法履行其他职责
荣盛房地产发展股份有限公司的董事是谁？,王潍东,荣盛房地产发展股份有限公司,董事,王潍东
天地源股份有限公司的董事是？,丁琍珺,天地源股份有限公司,董事,丁琍珺
宁波市赫雅商务服务有限公司的债券类型是多少？,可转换债券,宁波市赫雅商务服务有限公司,债券类型,可转换债券
香河瑞鸿房地产开发有限公司的信用评级？,差,香河瑞鸿房地产开发有限公司,信用评级,差
河南嵩基房地产有限公司的董事是谁？,左小明,河南嵩基房地产有限公司,董事,左小明
新大洲控股股份有限公司的董事是？,董彬,新大洲控股股份有限公司,董事,董彬
徐可的年龄多大？,65,徐可,年龄,65
重庆钢铁股份有限公司的董事是谁？,郑玉春,重庆钢铁股份有限公司,董事,郑玉春
贵州长征天成控股股份有限公司的董事是？,王进军,贵州长征天成控股股份有限公司,董事,王进军
北汽福田汽车股份有限公司的董事？,赵海,北汽福田汽车股份有限公司,董事,赵海
华秦储能技术有限公司的违规类型是多少？,涉嫌违反证券法律法规,华秦储能技术有限公司,违规类型,涉嫌违反证券法律法规
青岛恒美置业有限公司的信用评级是什么？,优,青岛恒美置业有限公司,信用评级,优
金洲慈航集团股份有限公司的监事是？,周文彬,金洲慈航集团股份有限公司,监事,周文彬
德兴市源森红花茶油有限公司的信用评级？,优,德兴市源森红花茶油有限公司,信用评级,优
林州重机集团股份有限公司的董事是？,丁保华,林州重机集团股份有限公司,董事,丁保华
北讯集团股份有限公司的违规类型是什么？,违规交易,北讯集团股份有限公司,违规类型,违规交易
浙江五芳斋实业股份有限公司的行业大类是多少？,寿险公司,浙江五芳斋实业股份有限公司,行业大类,寿险公司
重庆广建装饰股份有限公司的监事？,杨启久,重庆广建装饰股份有限公司,监事,杨启久
江西越和置业有限公司的违规类型？,其它信息披露违规,江西越和置业有限公司,违规类型,其它信息披露违规
林力的年龄？,64,林力,年龄,64
浙江交工集团股份有限公司的分红方式？,现金分红,浙江交工集团股份有限公司,分红方式,现金分红
龙口市福尔生化科技有限公司的客户是哪家公司？,上海华飞置业（集团）有限公司,龙口市福尔生化科技有限公司,客户,上海华飞置业（集团）有限公司
苏州市斜港置业有限公司的债券类型是多少？,定向工具,苏州市斜港置业有限公司,债券类型,定向工具
江苏宏图高科技股份有限公司的董事是谁？,赵芝富,江苏宏图高科技股份有限公司,董事,赵芝富
江西越和置业有限公司的收入是多少？,2733957,江西越和置业有限公司,收入,2733957
康得新复合材料集团股份有限公司的董事？,高永清,康得新复合材料集团股份有限公司,董事,高永清
前海科创投控股有限公司的信用评级是多少？,优,前海科创投控股有限公司,信用评级,优
郑李民的年龄多大？,21,郑李民,年龄,21
辅仁药业集团制药股份有限公司的监事是谁？,简再发,辅仁药业集团制药股份有限公司,监事,简再发
成都鸿望房地产开发有限公司的客户是谁？,成都兴城人居地产投资集团股份有限公司,成都鸿望房地产开发有限公司,客户,成都兴城人居地产投资集团股份有限公司
吴承明的年龄？,36,吴承明,年龄,36
成都武科实业有限公司的信用评级是？,差,成都武科实业有限公司,信用评级,差
天地源股份有限公司的董事是？,宋敏,天地源股份有限公司,董事,宋敏
无锡英菲感知技术有限公司的监事是谁？,丁毓琨,无锡英菲感知技术有限公司,监事,丁毓琨
山东广电智达技术有限公司的收益是多少？,1188917,山东广电智达技术有限公司,收益,1188917
宣丽萍的年龄是多少？,56,宣丽萍,年龄,56
陕西太华旅游索道公路有限公司的违规类型是什么？,其它程序违规,陕西太华旅游索道公路有限公司,违规类型,其它程序违规
廖小莉的年龄？,30,廖小莉,年龄,30
龙岩高岭土股份有限公司的董事是？,袁俊,龙岩高岭土股份有限公司,董事,袁俊
李桂弟的年龄是？,63,李桂弟,年龄,63
李陈清的年龄多大？,56,李陈清,年龄,56
新郑市裕坤苑房地产开发有限公司的债券类型是？,可转换债券,新郑市裕坤苑房地产开发有限公司,债券类型,可转换债券
广东名鳄实业有限公司的分红方式是多少？,送股,广东名鳄实业有限公司,分红方式,送股
江苏广汇建设工程有限公司的分红方式是？,送股,江苏广汇建设工程有限公司,分红方式,送股
张玲的年龄？,30,张玲,年龄,30
民发实业集团有限公司的债券类型是？,超短期融资券,民发实业集团有限公司,债券类型,超短期融资券
浙江发展房地产开发有限公司的收入是多少？,7629282,浙江发展房地产开发有限公司,收入,7629282
河南志强置业有限公司的行业大类是多少？,投资公司,河南志强置业有限公司,行业大类,投资公司
浙江金华山旅游文化投资发展有限公司的行业大类？,寿险公司,浙江金华山旅游文化投资发展有限公司,行业大类,寿险公司
杨坚的年龄多大？,29,杨坚,年龄,29
江苏长博集团有限公司的信用评级是多少？,差,江苏长博集团有限公司,信用评级,差
凯迪生态环境科技股份有限公司的董事？,唐宏明,凯迪生态环境科技股份有限公司,董事,唐宏明
张向宁的年龄是？,55,张向宁,年龄,55
裘建华的年龄多大？,67,裘建华,年龄,67
周清杰的年龄是多少？,38,周清杰,年龄,38
林茂玉的年龄是多少？,27,林茂玉,年龄,27
沈阳机床股份有限公司的监事是？,张之中,沈阳机床股份有限公司,监事,张之中
王宏伟的年龄多大？,61,王宏伟,年龄,61
四川雅西高速公路有限责任公司的信用评级？,暂无评级,四川雅西高速公路有限责任公司,信用评级,暂无评级
中安科股份有限公司的董事是？,农晓东,中安科股份有限公司,董事,农晓东
王乐的年龄？,51,王乐,年龄,51
北京华业资本控股股份有限公司的董事是谁？,蒿慧敏,北京华业资本控股股份有限公司,董事,蒿慧敏
常熟招商琴湖投资发展有限公司的违规类型是？,未及时披露公司重大事件,常熟招商琴湖投资发展有限公司,违规类型,未及时披露公司重大事件
浙江元盛塑业股份有限公司的董事是谁？,周岳军,浙江元盛塑业股份有限公司,董事,周岳军
兴隆县荣恒房地产开发有限公司的收入是多少？,4892546,兴隆县荣恒房地产开发有限公司,收入,4892546
北京华业资本控股股份有限公司的监事是谁？,苏永昌,北京华业资本控股股份有限公司,监事,苏永昌
苏州市招融致新房地产有限公司的客户？,雏鹰农牧集团股份有限公司,苏州市招融致新房地产有限公司,客户,雏鹰农牧集团股份有限公司
成都鸿望房地产开发有限公司的客户是哪个公司？,成都兴城人居地产投资集团股份有限公司,成都鸿望房地产开发有限公司,客户,成都兴城人居地产投资集团股份有限公司
中国人寿保险股份有限公司的董事是？,黄益平,中国人寿保险股份有限公司,董事,黄益平
周国庆的年龄是？,68,周国庆,年龄,68
郑东平的年龄是多少？,20,郑东平,年龄,20
淄博万嘉置业有限公司的行业大类是？,其它,淄博万嘉置业有限公司,行业大类,其它
苏州伟业集团有限公司的信用评级是啥？,优,苏州伟业集团有限公司,信用评级,优
杭州夏宇房地产开发有限公司的信用评级是什么？,暂无评级,杭州夏宇房地产开发有限公司,信用评级,暂无评级
广东美联隔膜有限公司的行业大类是？,其它,广东美联隔膜有限公司,行业大类,其它
鲁忠的年龄是多少？,36,鲁忠,年龄,36
北京华谊嘉信整合营销顾问集团股份有限公司的董事是？,宁智平,北京华谊嘉信整合营销顾问集团股份有限公司,董事,宁智平
长江精工钢结构（集团）股份有限公司的监事是谁？,黄幼仙,长江精工钢结构（集团）股份有限公司,监事,黄幼仙
河南蓝天新长燃气有限公司的收入是多少？,2693224,河南蓝天新长燃气有限公司,收入,2693224
中安科股份有限公司的董事是？,曹光明,中安科股份有限公司,董事,曹光明
郑春美的年龄是？,50,郑春美,年龄,50
德阳经开区发展（控股）集团有限公司的信用评级是？,暂无评级,德阳经开区发展（控股）集团有限公司,信用评级,暂无评级
北京凯文德信教育科技股份有限公司的董事是？,石军,北京凯文德信教育科技股份有限公司,董事,石军
泰禾集团股份有限公司的违规类型是多少？,无,泰禾集团股份有限公司,违规类型,无
苏州铧福创盛置业有限公司的董事是？,詹金明,苏州铧福创盛置业有限公司,董事,詹金明
协鑫集成科技股份有限公司的行业大类是多少？,资产管理公司,协鑫集成科技股份有限公司,行业大类,资产管理公司
魏福生的年龄？,24,魏福生,年龄,24
北讯集团股份有限公司的董事是谁？,杨涛,北讯集团股份有限公司,董事,杨涛
杭州浙达投资有限公司的信用评级是多少？,优,杭州浙达投资有限公司,信用评级,优
重庆建工集团股份有限公司的董事是谁？,郑路明,重庆建工集团股份有限公司,董事,郑路明
济宁广仁置业有限公司的收益是多少？,1214292,济宁广仁置业有限公司,收益,1214292
甘肃刚泰控股（集团）股份有限公司的监事？,杨元武,甘肃刚泰控股（集团）股份有限公司,监事,杨元武
杨坚的年龄是？,29,杨坚,年龄,29
刘云霞的年龄是多少？,22,刘云霞,年龄,22
山东和骏置业有限公司的分红方式是啥？,送股,山东和骏置业有限公司,分红方式,送股
张顺和的年龄多大？,24,张顺和,年龄,24
北京蓝天瑞德环保技术股份有限公司的董事是？,刘慧莹,北京蓝天瑞德环保技术股份有限公司,董事,刘慧莹
河南嵩基房地产有限公司的行业大类？,其他,河南嵩基房地产有限公司,行业大类,其他
杭州夏宇房地产开发有限公司的行业大类是啥？,其他,杭州夏宇房地产开发有限公司,行业大类,其他
派芬自控（上海）股份有限公司的董事是谁？,刘华富,派芬自控（上海）股份有限公司,董事,刘华富
宁波东韵置业有限公司的分红方式是多少？,现金分红,宁波东韵置业有限公司,分红方式,现金分红
